arrival_iso,device_id,sequence,latency_ms,sent_iso
2025-11-02 03:51:42,dev-004b12c48530,386,62616.352,2025-11-02 03:50:40
2025-11-02 03:51:43,dev-004b12c48530,387,63537.795,2025-11-02 03:50:40
2025-11-02 03:51:44,dev-004b12c48530,388,-63438.102,2025-11-02 03:52:48
2025-11-02 03:51:45,dev-004b12c48530,389,-62414.169,2025-11-02 03:52:48
2025-11-02 03:51:46,dev-004b12c48530,390,-61390.174,2025-11-02 03:52:48
2025-11-02 03:51:47,dev-004b12c48530,391,-60366.036,2025-11-02 03:52:48
2025-11-02 03:51:48,dev-004b12c48530,392,-59444.426,2025-11-02 03:52:48
2025-11-02 03:51:49,dev-004b12c48530,393,-58307.773,2025-11-02 03:52:48
2025-11-02 03:51:50,dev-004b12c48530,394,-57283.716,2025-11-02 03:52:48
2025-11-02 03:51:51,dev-004b12c48530,395,-56259.740,2025-11-02 03:52:48
2025-11-02 03:51:52,dev-004b12c48530,396,-55440.269,2025-11-02 03:52:48
2025-11-02 03:51:53,dev-004b12c48530,397,-54423.622,2025-11-02 03:52:48
2025-11-02 03:51:54,dev-004b12c48530,398,-53402.947,2025-11-02 03:52:48
2025-11-02 03:51:55,dev-004b12c48530,399,-52378.887,2025-11-02 03:52:48
2025-11-02 03:51:56,dev-004b12c48530,400,-51354.962,2025-11-02 03:52:48
2025-11-02 03:51:57,dev-004b12c48530,401,-50347.887,2025-11-02 03:52:48
2025-11-02 03:51:58,dev-004b12c48530,402,-49409.157,2025-11-02 03:52:48
2025-11-02 03:51:59,dev-004b12c48530,403,-48385.199,2025-11-02 03:52:48
2025-11-02 03:52:00,dev-004b12c48530,404,-47361.068,2025-11-02 03:52:48
2025-11-02 03:52:01,dev-004b12c48530,405,-46336.909,2025-11-02 03:52:48
2025-11-02 03:52:02,dev-004b12c48530,406,-45313.264,2025-11-02 03:52:48
2025-11-02 03:52:03,dev-004b12c48530,407,-44391.728,2025-11-02 03:52:48
2025-11-02 03:52:04,dev-004b12c48530,408,-43367.440,2025-11-02 03:52:48
2025-11-02 03:52:05,dev-004b12c48530,409,-42343.678,2025-11-02 03:52:48
2025-11-02 03:52:06,dev-004b12c48530,410,-41319.775,2025-11-02 03:52:48
2025-11-02 03:52:07,dev-004b12c48530,411,-40295.644,2025-11-02 03:52:48
2025-11-02 03:52:08,dev-004b12c48530,412,-39374.123,2025-11-02 03:52:48
2025-11-02 03:52:09,dev-004b12c48530,413,-38350.103,2025-11-02 03:52:48
2025-11-02 03:52:10,dev-004b12c48530,414,-37325.893,2025-11-02 03:52:48
2025-11-02 03:52:11,dev-004b12c48530,415,-36302.120,2025-11-02 03:52:48
2025-11-02 03:52:12,dev-004b12c48530,416,-35380.355,2025-11-02 03:52:48
2025-11-02 03:52:13,dev-004b12c48530,417,-34356.376,2025-11-02 03:52:48
2025-11-02 03:52:14,dev-004b12c48530,418,-33332.340,2025-11-02 03:52:48
2025-11-02 03:52:15,dev-004b12c48530,419,-32308.486,2025-11-02 03:52:48
2025-11-02 03:52:16,dev-004b12c48530,420,-31284.487,2025-11-02 03:52:48
2025-11-02 03:52:17,dev-004b12c48530,421,-30367.768,2025-11-02 03:52:48
2025-11-02 03:52:18,dev-004b12c48530,422,-29366.495,2025-11-02 03:52:48
2025-11-02 03:52:19,dev-004b12c48530,423,-28361.504,2025-11-02 03:52:48
2025-11-02 03:52:20,dev-004b12c48530,424,-27360.445,2025-11-02 03:52:48
2025-11-02 03:52:21,dev-004b12c48530,425,-26266.884,2025-11-02 03:52:48
2025-11-02 03:52:22,dev-004b12c48530,426,-25345.264,2025-11-02 03:52:48
2025-11-02 03:52:23,dev-004b12c48530,427,-24321.240,2025-11-02 03:52:48
2025-11-02 03:52:24,dev-004b12c48530,428,-23297.260,2025-11-02 03:52:48
2025-11-02 03:52:25,dev-004b12c48530,429,-22273.241,2025-11-02 03:52:48
2025-11-02 03:52:26,dev-004b12c48530,430,-21249.245,2025-11-02 03:52:48
2025-11-02 03:52:27,dev-004b12c48530,431,-20327.515,2025-11-02 03:52:48
2025-11-02 03:52:28,dev-004b12c48530,432,-19303.659,2025-11-02 03:52:48
2025-11-02 03:52:29,dev-004b12c48530,433,-18279.697,2025-11-02 03:52:48
2025-11-02 03:52:30,dev-004b12c48530,434,-17255.587,2025-11-02 03:52:48
2025-11-02 03:52:31,dev-004b12c48530,435,-16231.640,2025-11-02 03:52:48
2025-11-02 03:52:32,dev-004b12c48530,436,-15307.778,2025-11-02 03:52:48
2025-11-02 03:52:33,dev-004b12c48530,437,-14286.037,2025-11-02 03:52:48
2025-11-02 03:52:34,dev-004b12c48530,438,-13159.683,2025-11-02 03:52:48
2025-11-02 03:52:35,dev-004b12c48530,439,-12238.116,2025-11-02 03:52:48
2025-11-02 03:52:36,dev-004b12c48530,440,-11213.989,2025-11-02 03:52:48
2025-11-02 03:52:37,dev-004b12c48530,441,-10292.254,2025-11-02 03:52:48
2025-11-02 03:52:38,dev-004b12c48530,442,-9268.332,2025-11-02 03:52:48
2025-11-02 03:52:39,dev-004b12c48530,443,-8244.486,2025-11-02 03:52:48
2025-11-02 03:52:40,dev-004b12c48530,444,-7220.249,2025-11-02 03:52:48
2025-11-02 03:52:41,dev-004b12c48530,445,-6196.209,2025-11-02 03:52:48
2025-11-02 03:52:42,dev-004b12c48530,446,-5274.733,2025-11-02 03:52:48
2025-11-02 03:52:43,dev-004b12c48530,447,-4250.568,2025-11-02 03:52:48
2025-11-02 03:52:44,dev-004b12c48530,448,-3226.844,2025-11-02 03:52:48
2025-11-02 03:52:45,dev-004b12c48530,449,-2202.850,2025-11-02 03:52:48
2025-11-02 03:52:46,dev-004b12c48530,450,-1178.809,2025-11-02 03:52:48
2025-11-02 03:52:47,dev-004b12c48530,451,-257.223,2025-11-02 03:52:48
2025-11-02 03:52:48,dev-004b12c48530,452,767.335,2025-11-02 03:52:48
2025-11-02 03:52:49,dev-004b12c48530,453,1790.939,2025-11-02 03:52:48
2025-11-02 03:52:50,dev-004b12c48530,454,2815.318,2025-11-02 03:52:48
2025-11-02 03:52:51,dev-004b12c48530,455,3839.210,2025-11-02 03:52:48
2025-11-02 03:52:52,dev-004b12c48530,456,4760.674,2025-11-02 03:52:48
2025-11-02 03:52:53,dev-004b12c48530,457,5784.776,2025-11-02 03:52:48
2025-11-02 03:52:54,dev-004b12c48530,458,6808.437,2025-11-02 03:52:48
2025-11-02 03:52:55,dev-004b12c48530,459,7833.127,2025-11-02 03:52:48
2025-11-02 03:52:56,dev-004b12c48530,460,8857.102,2025-11-02 03:52:48
2025-11-02 03:52:57,dev-004b12c48530,461,9778.319,2025-11-02 03:52:48
2025-11-02 03:52:58,dev-004b12c48530,462,10802.484,2025-11-02 03:52:48
2025-11-02 03:52:59,dev-004b12c48530,463,11826.312,2025-11-02 03:52:48
2025-11-02 03:53:00,dev-004b12c48530,464,12850.552,2025-11-02 03:52:48
2025-11-02 03:53:01,dev-004b12c48530,465,13874.098,2025-11-02 03:52:48
2025-11-02 03:53:02,dev-004b12c48530,466,14799.415,2025-11-02 03:52:48
2025-11-02 03:53:03,dev-004b12c48530,467,15820.072,2025-11-02 03:52:48
2025-11-02 03:53:04,dev-004b12c48530,468,16843.622,2025-11-02 03:52:48
2025-11-02 03:53:05,dev-004b12c48530,469,17867.615,2025-11-02 03:52:48
2025-11-02 03:53:06,dev-004b12c48530,470,18891.670,2025-11-02 03:52:48
2025-11-02 03:53:07,dev-004b12c48530,471,19813.444,2025-11-02 03:52:48
2025-11-02 03:53:08,dev-004b12c48530,472,20837.301,2025-11-02 03:52:48
2025-11-02 03:53:09,dev-004b12c48530,473,21861.297,2025-11-02 03:52:48
2025-11-02 03:53:10,dev-004b12c48530,474,22885.583,2025-11-02 03:52:48
2025-11-02 03:53:11,dev-004b12c48530,475,23807.470,2025-11-02 03:52:48
2025-11-02 03:53:12,dev-004b12c48530,476,24831.527,2025-11-02 03:52:48
2025-11-02 03:53:13,dev-004b12c48530,477,25854.922,2025-11-02 03:52:48
2025-11-02 03:53:14,dev-004b12c48530,478,26879.573,2025-11-02 03:52:48
2025-11-02 03:53:15,dev-004b12c48530,479,27903.160,2025-11-02 03:52:48
2025-11-02 03:53:16,dev-004b12c48530,480,28824.937,2025-11-02 03:52:48
2025-11-02 03:53:17,dev-004b12c48530,481,29849.082,2025-11-02 03:52:48
2025-11-02 03:53:18,dev-004b12c48530,482,30872.574,2025-11-02 03:52:48
2025-11-02 03:53:19,dev-004b12c48530,483,31896.689,2025-11-02 03:52:48
2025-11-02 03:53:20,dev-004b12c48530,484,32920.483,2025-11-02 03:52:48
2025-11-02 03:53:21,dev-004b12c48530,485,33842.383,2025-11-02 03:52:48
2025-11-02 03:53:22,dev-004b12c48530,486,34866.143,2025-11-02 03:52:48
2025-11-02 03:53:23,dev-004b12c48530,487,35890.132,2025-11-02 03:52:48
2025-11-02 03:53:24,dev-004b12c48530,488,36914.057,2025-11-02 03:52:48
